SP     0020    SPACE
Nb     0023    NUMBER SIGN
DO     0024    DOLLAR SIGN
At     0040    COMMERCIAL AT
<(     005b    LEFT SQUARE BRACKET
//     005c    REVERSE SOLIDUS
)>     005d    RIGHT SQUARE BRACKET
'>     005e    CIRCUMFLEX ACCENT
'!     0060    GRAVE ACCENT
(!     007b    LEFT CURLY BRACKET
!!     007c    VERTICAL LINE
!)     007d    RIGHT CURLY BRACKET
'?     007e    TILDE
NS     00a0    NO-BREAK SPACE
!I     00a1    INVERTED EXCLAMATION MARK
Ct     00a2    CENT SIGN
Pd     00a3    POUND SIGN
Cu     00a4    CURRENCY SIGN
Ye     00a5    YEN SIGN
BB     00a6    BROKEN BAR
SE     00a7    SECTION SIGN
':     00a8    DIAERESIS
Co     00a9    COPYRIGHT SIGN
-a     00aa    FEMININE ORDINAL INDICATOR
<<     00ab    LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
NO     00ac    NOT SIGN
--     00ad    SOFT HYPHEN
Rg     00ae    REGISTERED SIGN
'm     00af    MACRON
DG     00b0    DEGREE SIGN
+-     00b1    PLUS-MINUS SIGN
2S     00b2    SUPERSCRIPT TWO
3S     00b3    SUPERSCRIPT THREE
''     00b4    ACUTE ACCENT
My     00b5    MICRO SIGN
PI     00b6    PILCROW SIGN
.M     00b7    MIDDLE DOT
',     00b8    CEDILLA
1S     00b9    SUPERSCRIPT ONE
-o     00ba    MASCULINE ORDINAL INDICATOR
>>     00bb    RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
14     00bc    VULGAR FRACTION ONE QUARTER
12     00bd    VULGAR FRACTION ONE HALF
34     00be    VULGAR FRACTION THREE QUARTERS
?I     00bf    INVERTED QUESTION MARK
A!     00c0    LATIN CAPITAL LETTER A WITH GRAVE
A'     00c1    LATIN CAPITAL LETTER A WITH ACUTE
A>     00c2    LATIN CAPITAL LETTER A WITH CIRCUMFLEX
A?     00c3    LATIN CAPITAL LETTER A WITH TILDE
A:     00c4    LATIN CAPITAL LETTER A WITH DIAERESIS
AA     00c5    LATIN CAPITAL LETTER A WITH RING ABOVE
AE     00c6    LATIN CAPITAL LETTER AE
C,     00c7    LATIN CAPITAL LETTER C WITH CEDILLA
E!     00c8    LATIN CAPITAL LETTER E WITH GRAVE
E'     00c9    LATIN CAPITAL LETTER E WITH ACUTE
E>     00ca    LATIN CAPITAL LETTER E WITH CIRCUMFLEX
E:     00cb    LATIN CAPITAL LETTER E WITH DIAERESIS
I!     00cc    LATIN CAPITAL LETTER I WITH GRAVE
I'     00cd    LATIN CAPITAL LETTER I WITH ACUTE
I>     00ce    LATIN CAPITAL LETTER I WITH CIRCUMFLEX
I:     00cf    LATIN CAPITAL LETTER I WITH DIAERESIS
D-     00d0    LATIN CAPITAL LETTER ETH (Icelandic)
N?     00d1    LATIN CAPITAL LETTER N WITH TILDE
O!     00d2    LATIN CAPITAL LETTER O WITH GRAVE
O'     00d3    LATIN CAPITAL LETTER O WITH ACUTE
O>     00d4    LATIN CAPITAL LETTER O WITH CIRCUMFLEX
O?     00d5    LATIN CAPITAL LETTER O WITH TILDE
O:     00d6    LATIN CAPITAL LETTER O WITH DIAERESIS
*X     00d7    MULTIPLICATION SIGN
O/     00d8    LATIN CAPITAL LETTER O WITH STROKE
U!     00d9    LATIN CAPITAL LETTER U WITH GRAVE
U'     00da    LATIN CAPITAL LETTER U WITH ACUTE
U>     00db    LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U:     00dc    LATIN CAPITAL LETTER U WITH DIAERESIS
Y'     00dd    LATIN CAPITAL LETTER Y WITH ACUTE
TH     00de    LATIN CAPITAL LETTER THORN (Icelandic)
ss     00df    LATIN SMALL LETTER SHARP S (German)
a!     00e0    LATIN SMALL LETTER A WITH GRAVE
a'     00e1    LATIN SMALL LETTER A WITH ACUTE
a>     00e2    LATIN SMALL LETTER A WITH CIRCUMFLEX
a?     00e3    LATIN SMALL LETTER A WITH TILDE
a:     00e4    LATIN SMALL LETTER A WITH DIAERESIS
aa     00e5    LATIN SMALL LETTER A WITH RING ABOVE
ae     00e6    LATIN SMALL LETTER AE
c,     00e7    LATIN SMALL LETTER C WITH CEDILLA
e!     00e8    LATIN SMALL LETTER E WITH GRAVE
e'     00e9    LATIN SMALL LETTER E WITH ACUTE
e>     00ea    LATIN SMALL LETTER E WITH CIRCUMFLEX
e:     00eb    LATIN SMALL LETTER E WITH DIAERESIS
i!     00ec    LATIN SMALL LETTER I WITH GRAVE
i'     00ed    LATIN SMALL LETTER I WITH ACUTE
i>     00ee    LATIN SMALL LETTER I WITH CIRCUMFLEX
i:     00ef    LATIN SMALL LETTER I WITH DIAERESIS
d-     00f0    LATIN SMALL LETTER ETH (Icelandic)
n?     00f1    LATIN SMALL LETTER N WITH TILDE
o!     00f2    LATIN SMALL LETTER O WITH GRAVE
o'     00f3    LATIN SMALL LETTER O WITH ACUTE
o>     00f4    LATIN SMALL LETTER O WITH CIRCUMFLEX
o?     00f5    LATIN SMALL LETTER O WITH TILDE
o:     00f6    LATIN SMALL LETTER O WITH DIAERESIS
-:     00f7    DIVISION SIGN
o/     00f8    LATIN SMALL LETTER O WITH STROKE
u!     00f9    LATIN SMALL LETTER U WITH GRAVE
u'     00fa    LATIN SMALL LETTER U WITH ACUTE
u>     00fb    LATIN SMALL LETTER U WITH CIRCUMFLEX
u:     00fc    LATIN SMALL LETTER U WITH DIAERESIS
y'     00fd    LATIN SMALL LETTER Y WITH ACUTE
th     00fe    LATIN SMALL LETTER THORN (Icelandic)
y:     00ff    LATIN SMALL LETTER Y WITH DIAERESIS
A-     0100    LATIN CAPITAL LETTER A WITH MACRON
a-     0101    LATIN SMALL LETTER A WITH MACRON
A(     0102    LATIN CAPITAL LETTER A WITH BREVE
a(     0103    LATIN SMALL LETTER A WITH BREVE
A;     0104    LATIN CAPITAL LETTER A WITH OGONEK
a;     0105    LATIN SMALL LETTER A WITH OGONEK
C'     0106    LATIN CAPITAL LETTER C WITH ACUTE
c'     0107    LATIN SMALL LETTER C WITH ACUTE
C>     0108    LATIN CAPITAL LETTER C WITH CIRCUMFLEX
c>     0109    LATIN SMALL LETTER C WITH CIRCUMFLEX
C.     010a    LATIN CAPITAL LETTER C WITH DOT ABOVE
c.     010b    LATIN SMALL LETTER C WITH DOT ABOVE
C<     010c    LATIN CAPITAL LETTER C WITH CARON
c<     010d    LATIN SMALL LETTER C WITH CARON
D<     010e    LATIN CAPITAL LETTER D WITH CARON
d<     010f    LATIN SMALL LETTER D WITH CARON
D/     0110    LATIN CAPITAL LETTER D WITH STROKE
d/     0111    LATIN SMALL LETTER D WITH STROKE
E-     0112    LATIN CAPITAL LETTER E WITH MACRON
e-     0113    LATIN SMALL LETTER E WITH MACRON
E(     0114    LATIN CAPITAL LETTER E WITH BREVE
e(     0115    LATIN SMALL LETTER E WITH BREVE
E.     0116    LATIN CAPITAL LETTER E WITH DOT ABOVE
e.     0117    LATIN SMALL LETTER E WITH DOT ABOVE
E;     0118    LATIN CAPITAL LETTER E WITH OGONEK
e;     0119    LATIN SMALL LETTER E WITH OGONEK
E<     011a    LATIN CAPITAL LETTER E WITH CARON
e<     011b    LATIN SMALL LETTER E WITH CARON
G>     011c    LATIN CAPITAL LETTER G WITH CIRCUMFLEX
g>     011d    LATIN SMALL LETTER G WITH CIRCUMFLEX
G(     011e    LATIN CAPITAL LETTER G WITH BREVE
g(     011f    LATIN SMALL LETTER G WITH BREVE
G.     0120    LATIN CAPITAL LETTER G WITH DOT ABOVE
g.     0121    LATIN SMALL LETTER G WITH DOT ABOVE
G,     0122    LATIN CAPITAL LETTER G WITH CEDILLA
g,     0123    LATIN SMALL LETTER G WITH CEDILLA
H>     0124    LATIN CAPITAL LETTER H WITH CIRCUMFLEX
h>     0125    LATIN SMALL LETTER H WITH CIRCUMFLEX
H/     0126    LATIN CAPITAL LETTER H WITH STROKE
h/     0127    LATIN SMALL LETTER H WITH STROKE
I?     0128    LATIN CAPITAL LETTER I WITH TILDE
i?     0129    LATIN SMALL LETTER I WITH TILDE
I-     012a    LATIN CAPITAL LETTER I WITH MACRON
i-     012b    LATIN SMALL LETTER I WITH MACRON
I(     012c    LATIN CAPITAL LETTER I WITH BREVE
i(     012d    LATIN SMALL LETTER I WITH BREVE
I;     012e    LATIN CAPITAL LETTER I WITH OGONEK
i;     012f    LATIN SMALL LETTER I WITH OGONEK
I.     0130    LATIN CAPITAL LETTER I WITH DOT ABOVE
i.     0131    LATIN SMALL LETTER I DOTLESS
IJ     0132    LATIN CAPITAL LIGATURE IJ
ij     0133    LATIN SMALL LIGATURE IJ
J>     0134    LATIN CAPITAL LETTER J WITH CIRCUMFLEX
j>     0135    LATIN SMALL LETTER J WITH CIRCUMFLEX
K,     0136    LATIN CAPITAL LETTER K WITH CEDILLA
k,     0137    LATIN SMALL LETTER K WITH CEDILLA
kk     0138    LATIN SMALL LETTER KRA (Greenlandic)
L'     0139    LATIN CAPITAL LETTER L WITH ACUTE
l'     013a    LATIN SMALL LETTER L WITH ACUTE
L,     013b    LATIN CAPITAL LETTER L WITH CEDILLA
l,     013c    LATIN SMALL LETTER L WITH CEDILLA
L<     013d    LATIN CAPITAL LETTER L WITH CARON
l<     013e    LATIN SMALL LETTER L WITH CARON
L.     013f    LATIN CAPITAL LETTER L WITH MIDDLE DOT
l.     0140    LATIN SMALL LETTER L WITH MIDDLE DOT
L/     0141    LATIN CAPITAL LETTER L WITH STROKE
l/     0142    LATIN SMALL LETTER L WITH STROKE
N'     0143    LATIN CAPITAL LETTER N WITH ACUTE
n'     0144    LATIN SMALL LETTER N WITH ACUTE
